Name,Release_Date,Publisher,Platform,Press_Score,Number_Scores_Press,Users_Score,Number_Scores_Users,Month,Year,Scores_delta,Score_Avg
The Crew 2,2018-06-26,Ubisoft,Xbox One,6.9,37,5.6,30.0,6,2018,-1.3000000000000007,6.25
The Crew 2,2018-06-26,Ubisoft,Pc,6.6,22,4.9,112.0,6,2018,-1.6999999999999993,5.75
Prince of Persia: The Fallen King,2008-12-02,Ubisoft,Ds,6.4,24,5.2,5.0,12,2008,-1.2000000000000002,5.800000000000001
Assassin's Creed Unity: Dead Kings,2015-01-13,Ubisoft,Playstation 4,6.8,9,6.5,16.0,1,2015,-0.2999999999999998,6.65
Assassin's Creed Unity: Dead Kings,2015-01-13,Ubisoft,Xbox One,6.4,13,5.9,11.0,1,2015,-0.5,6.15
The Mighty Quest for Epic Loot,2013-11-18,Ubisoft,Pc,6.4,9,5.6,39.0,11,2013,-0.8000000000000007,6.0
The Mighty Quest for Epic Loot,2013-11-18,Ubisoft,Ios Iphoneipad,7.1,4,8.3,1.0,11,2013,1.200000000000001,7.7
Wheelman,2009-03-24,Ubisoft,Playstation 3,6.6,37,7.0,7.0,3,2009,0.40000000000000036,6.8
Wheelman,2009-03-24,Ubisoft,Xbox 360,6.4,63,6.6,6.0,3,2009,0.1999999999999993,6.5
Wheelman,2009-03-24,Ubisoft,Pc,5.8,25,6.6,7.0,3,2009,0.7999999999999998,6.199999999999999
Mad Riders,2012-05-30,Ubisoft,Xbox 360,6.4,31,7.1,9.0,5,2012,0.6999999999999993,6.75
Mad Riders,2012-05-30,Ubisoft,Playstation 3,7.1,11,5.3,4.0,5,2012,-1.7999999999999998,6.199999999999999
Mad Riders,2012-05-30,Ubisoft,Pc,6.7,2,7.2,5.0,5,2012,0.5,6.95
Armored Core: For Answer,2008-09-16,Ubisoft,Xbox 360,6.4,22,7.6,5.0,9,2008,1.1999999999999993,7.0
Armored Core: For Answer,2008-09-16,Ubisoft,Playstation 3,6.2,22,7.3,10.0,9,2008,1.0999999999999996,6.75
Academy of Champions: Soccer,2009-11-03,Ubisoft,Wii,6.4,20,6.8,1.0,11,2009,0.39999999999999947,6.6
Pro Rally,2002-11-11,Ubisoft,Gamecube,6.4,11,8.3,9.0,11,2002,1.9000000000000004,7.3500000000000005
Cranium Kabookii,2007-12-04,Ubisoft,Wii,6.4,9,7.0,1.0,12,2007,0.5999999999999996,6.7
The Adventures of Tintin: The Game,2011-12-06,Ubisoft,Pc,7.0,3,7.5,6.0,12,2011,0.5,7.25
The Adventures of Tintin: The Game,2011-12-06,Ubisoft,Playstation 3,5.9,27,6.8,8.0,12,2011,0.8999999999999995,6.35
The Adventures of Tintin: The Game,2011-12-06,Ubisoft,Xbox 360,6.3,35,7.2,3.0,12,2011,0.9000000000000004,6.75
The Adventures of Tintin: The Game,2011-12-06,Ubisoft,Wii,5.5,3,6.0,2.0,12,2011,0.5,5.75
The Adventures of Tintin: The Game,2011-12-06,Ubisoft,3Ds,5.6,8,5.6,1.0,12,2011,0.0,5.6
Assassin's Creed Chronicles: India,2016-01-13,Ubisoft,Playstation 4,6.3,41,4.2,12.0,1,2016,-2.0999999999999996,5.25
Assassin's Creed Chronicles: India,2016-01-13,Ubisoft,Xbox One,6.4,20,5.2,10.0,1,2016,-1.2000000000000002,5.800000000000001
Assassin's Creed Chronicles: India,2016-01-13,Ubisoft,Pc,6.3,15,5.3,23.0,1,2016,-1.0,5.8
Assassin's Creed: Bloodlines,2009-11-17,Ubisoft,Psp,6.3,38,6.7,40.0,11,2009,0.40000000000000036,6.5
Assassin's Creed III - The Redemption,2013-04-23,Ubisoft,Xbox 360,6.3,13,5.1,6.0,4,2013,-1.2000000000000002,5.699999999999999
Assassin's Creed III - The Redemption,2013-04-23,Ubisoft,Playstation 3,7.0,6,5.5,5.0,4,2013,-1.5,6.25
Assassin's Creed III - The Redemption,2013-04-23,Ubisoft,Pc,6.8,3,6.5,4.0,4,2013,-0.2999999999999998,6.65
Will Rock,2003-06-09,Ubisoft,Pc,6.3,12,7.3,17.0,6,2003,1.0,6.8
Red Steel,2006-11-19,Ubisoft,Wii,6.3,54,6.3,26.0,11,2006,0.0,6.3
Space Junkies,2019-03-26,Ubisoft,Pc,7.7,7,5.1,9.0,3,2019,-2.6000000000000005,6.4
Space Junkies,2019-03-26,Ubisoft,Playstation 4,6.3,12,4.1,1.0,3,2019,-2.2,5.199999999999999
Rayman Arena,2002-09-24,Ubisoft,Playstation 2,6.3,10,7.7,5.0,9,2002,1.4000000000000004,7.0
Rayman Arena,2002-09-24,Ubisoft,Pc,4.6,4,7.1,3.0,9,2002,2.5,5.85
Rayman Arena,2002-09-24,Ubisoft,Gamecube,6.0,10,7.0,4.0,9,2002,1.0,6.5
Batman: Rise of Sin Tzu (2003),2003-10-27,Ubisoft,Game Boy Advance,6.3,12,6.8,1.0,10,2003,0.5,6.55
